Record_ID,Date,Time,Zone,Area,Mobility_Demand,Trip_Count,Weather_Condition,Available_Vehicles,Delay_Minutes,Mode_of_Transportation,Latitude,Longitude,Possible_Reason
191,2025-03-05,14:30:00,North,Yelahanka,34.5,30,Sunny,100,0.7,Bus,13.1007,77.5963,Normal afternoon demand under sunny conditions
192,2025-03-05,19:15:00,Central,Shivajinagar,109.5,104,Windy,59,3.0,Scooter,12.9857,77.6058,Evening demand slightly reduced due to windy conditions
193,2025-03-06,08:15:00,South,HSR Layout,96.9,76,Cloudy,48,3.4,Metro,12.9121,77.6446,Typical morning peak-hour commuter demand
194,2025-03-06,14:30:00,West,Nagarbhavi,27.3,23,Foggy,102,0.5,Scooter,12.9587,77.5041,Afternoon demand slightly reduced due to foggy conditions
195,2025-03-06,19:15:00,East,Indiranagar,118.7,103,Sunny,46,4.2,Metro,12.9719,77.6412,Typical evening peak-hour commuter demand
196,2025-03-07,08:15:00,Central,Richmond Town,138.4,130,Rainy,33,6.7,Metro,12.9634,77.6041,Morning travel demand increased due to rainy weather
197,2025-03-07,14:30:00,West,Nagarbhavi,32.6,28,Cloudy,100,0.5,Metro,12.9587,77.5041,Normal afternoon demand under cloudy conditions
198,2025-03-07,19:15:00,South,Jayanagar,81.4,73,Sunny,69,1.8,Metro,12.9308,77.5838,Typical evening peak-hour commuter demand
199,2025-03-08,08:15:00,North,Malleshwaram,80.2,75,Sunny,66,2.2,Bike,13.0035,77.5709,Typical morning peak-hour commuter demand
200,2025-03-08,14:30:00,North,Malleshwaram,36.1,34,Foggy,96,0.5,Bike,13.0035,77.5709,Afternoon demand slightly reduced due to foggy conditions
201,2025-03-08,19:15:00,West,Nagarbhavi,59.6,54,Cloudy,77,1.3,Metro,12.9587,77.5041,Typical evening peak-hour commuter demand
202,2025-03-09,08:15:00,North,Yelahanka,73.6,60,Sunny,67,1.8,Metro,13.1007,77.5963,Typical morning peak-hour commuter demand
203,2025-03-09,14:30:00,Central,MG Road,61.1,52,Sunny,80,1.5,Car,12.9758,77.6045,Normal afternoon demand under sunny conditions
204,2025-03-09,19:15:00,East,Whitefield,95.2,83,Windy,51,3.0,Bike,12.9698,77.75,Evening demand slightly reduced due to windy conditions
205,2025-03-10,08:15:00,East,Marathahalli,115.3,109,Cloudy,43,4.4,Metro,12.9591,77.6974,Typical morning peak-hour commuter demand
206,2025-03-10,14:30:00,West,Vijayanagar,30.9,28,Cloudy,98,0.5,Scooter,12.9719,77.529,Normal afternoon demand under cloudy conditions
207,2025-03-10,19:15:00,North,Yelahanka,75.0,63,Sunny,68,1.7,Bus,13.1007,77.5963,Typical evening peak-hour commuter demand
208,2025-03-11,08:15:00,West,Rajajinagar,63.1,48,Sunny,79,1.4,Scooter,12.9915,77.5525,Typical morning peak-hour commuter demand
209,2025-03-11,14:30:00,South,Koramangala,44.8,34,Sunny,87,0.8,Bus,12.9352,77.6245,Normal afternoon demand under sunny conditions
210,2025-03-11,19:15:00,Central,Richmond Town,102.8,91,Foggy,46,4.0,Metro,12.9634,77.6041,Evening demand slightly reduced due to foggy conditions
211,2025-03-12,08:15:00,Central,Richmond Town,113.5,108,Sunny,36,4.5,Bus,12.9634,77.6041,Typical morning peak-hour commuter demand
212,2025-03-12,14:30:00,South,Koramangala,48.9,37,Sunny,84,1.1,Bike,12.9352,77.6245,Normal afternoon demand under sunny conditions
213,2025-03-12,19:15:00,East,Whitefield,94.7,81,Windy,51,3.2,Metro,12.9698,77.75,Evening demand slightly reduced due to windy conditions
214,2025-03-13,08:15:00,Central,MG Road,109.4,103,Cloudy,53,3.1,Scooter,12.9758,77.6045,Typical morning peak-hour commuter demand
215,2025-03-13,14:30:00,Central,Richmond Town,62.5,56,Sunny,75,1.7,Car,12.9634,77.6041,Normal afternoon demand under sunny conditions
216,2025-03-13,19:15:00,West,Nagarbhavi,53.2,48,Foggy,85,1.1,Car,12.9587,77.5041,Evening demand slightly reduced due to foggy conditions
217,2025-03-14,08:15:00,East,Indiranagar,121.5,102,Rainy,44,4.5,Metro,12.9719,77.6412,Morning travel demand increased due to rainy weather
218,2025-03-14,14:30:00,West,Nagarbhavi,28.3,26,Sunny,102,0.5,Bus,12.9587,77.5041,Normal afternoon demand under sunny conditions
219,2025-03-14,19:15:00,Central,Shivajinagar,109.7,104,Sunny,55,3.4,Car,12.9857,77.6058,Typical evening peak-hour commuter demand
220,2025-03-15,08:15:00,Central,MG Road,98.8,75,Foggy,63,2.3,Scooter,12.9758,77.6045,Morning demand slightly reduced due to foggy conditions
221,2025-03-15,14:30:00,Central,Richmond Town,54.7,48,Foggy,88,1.2,Bus,12.9634,77.6041,Afternoon demand slightly reduced due to foggy conditions
222,2025-03-15,19:15:00,South,Jayanagar,87.8,72,Windy,70,1.9,Metro,12.9308,77.5838,Evening demand slightly reduced due to windy conditions
223,2025-03-16,08:15:00,North,Hebbal,74.5,64,Sunny,76,1.6,Bus,13.0358,77.597,Typical morning peak-hour commuter demand
224,2025-03-16,14:30:00,West,Nagarbhavi,34.5,27,Rainy,96,0.5,Car,12.9587,77.5041,Afternoon travel demand increased due to rainy weather
225,2025-03-16,19:15:00,North,Malleshwaram,81.1,69,Sunny,67,2.0,Car,13.0035,77.5709,Typical evening peak-hour commuter demand
226,2025-03-17,08:15:00,Central,Richmond Town,118.3,99,Cloudy,53,3.9,Scooter,12.9634,77.6041,Typical morning peak-hour commuter demand
227,2025-03-17,14:30:00,North,Yelahanka,39.8,34,Sunny,91,0.7,Bike,13.1007,77.5963,Normal afternoon demand under sunny conditions
228,2025-03-17,19:15:00,North,Hebbal,73.7,67,Windy,73,1.8,Car,13.0358,77.597,Evening demand slightly reduced due to windy conditions
229,2025-03-18,08:15:00,North,Malleshwaram,78.5,69,Sunny,62,2.1,Metro,13.0035,77.5709,Typical morning peak-hour commuter demand
230,2025-03-18,14:30:00,North,Hebbal,35.5,32,Windy,97,0.6,Bus,13.0358,77.597,Afternoon demand slightly reduced due to windy conditions
231,2025-03-18,19:15:00,East,Marathahalli,118.1,106,Sunny,34,5.4,Bike,12.9591,77.6974,Typical evening peak-hour commuter demand
232,2025-03-19,08:15:00,Central,Shivajinagar,94.4,75,Foggy,63,2.6,Car,12.9857,77.6058,Morning demand slightly reduced due to foggy conditions
233,2025-03-19,14:30:00,North,Yelahanka,40.3,33,Rainy,94,0.6,Scooter,13.1007,77.5963,Afternoon travel demand increased due to rainy weather
234,2025-03-19,19:15:00,North,Malleshwaram,76.4,66,Sunny,67,1.6,Metro,13.0035,77.5709,Typical evening peak-hour commuter demand
235,2025-03-20,08:15:00,East,Indiranagar,128.2,108,Rainy,28,7.1,Metro,12.9719,77.6412,Morning travel demand increased due to rainy weather
236,2025-03-20,14:30:00,North,Malleshwaram,39.8,33,Sunny,96,0.8,Scooter,13.0035,77.5709,Normal afternoon demand under sunny conditions
237,2025-03-20,19:15:00,Central,Richmond Town,119.0,96,Sunny,46,4.0,Bus,12.9634,77.6041,Typical evening peak-hour commuter demand
238,2025-03-21,08:15:00,East,Whitefield,91.7,81,Foggy,54,3.4,Bus,12.9698,77.75,Morning demand slightly reduced due to foggy conditions
239,2025-03-21,14:30:00,South,Koramangala,44.4,37,Foggy,95,0.7,Metro,12.9352,77.6245,Afternoon demand slightly reduced due to foggy conditions
240,2025-03-21,19:15:00,West,Rajajinagar,68.2,59,Cloudy,75,1.7,Bike,12.9915,77.5525,Typical evening peak-hour commuter demand
241,2025-03-22,08:15:00,North,Yelahanka,85.8,81,Rainy,58,2.9,Scooter,13.1007,77.5963,Morning travel demand increased due to rainy weather
242,2025-03-22,14:30:00,East,Indiranagar,56.2,49,Cloudy,79,1.1,Metro,12.9719,77.6412,Normal afternoon demand under cloudy conditions
243,2025-03-22,19:15:00,North,Hebbal,72.2,55,Sunny,67,1.8,Car,13.0358,77.597,Typical evening peak-hour commuter demand
244,2025-03-23,08:15:00,East,Whitefield,109.1,86,Rainy,42,4.0,Car,12.9698,77.75,Morning travel demand increased due to rainy weather
245,2025-03-23,14:30:00,North,Malleshwaram,48.4,39,Rainy,91,1.1,Scooter,13.0035,77.5709,Afternoon travel demand increased due to rainy weather
246,2025-03-23,19:15:00,Central,Richmond Town,124.9,100,Cloudy,32,7.3,Metro,12.9634,77.6041,Typical evening peak-hour commuter demand
247,2025-03-24,08:15:00,North,Malleshwaram,70.6,61,Sunny,67,1.5,Scooter,13.0035,77.5709,Typical morning peak-hour commuter demand
248,2025-03-24,14:30:00,West,Vijayanagar,34.8,27,Cloudy,98,0.7,Metro,12.9719,77.529,Normal afternoon demand under cloudy conditions
249,2025-03-24,19:15:00,East,Indiranagar,111.2,94,Sunny,40,5.0,Bus,12.9719,77.6412,Typical evening peak-hour commuter demand
250,2025-03-25,08:15:00,Central,Richmond Town,102.8,85,Foggy,44,3.6,Bus,12.9634,77.6041,Morning demand slightly reduced due to foggy conditions
251,2025-03-25,14:30:00,Central,Shivajinagar,56.7,45,Sunny,87,1.1,Scooter,12.9857,77.6058,Normal afternoon demand under sunny conditions
252,2025-03-25,19:15:00,North,Malleshwaram,99.7,91,Rainy,60,2.6,Scooter,13.0035,77.5709,Evening travel demand increased due to rainy weather
253,2025-03-26,08:15:00,East,Whitefield,90.4,72,Foggy,55,2.7,Bike,12.9698,77.75,Morning demand slightly reduced due to foggy conditions
254,2025-03-26,14:30:00,Central,Richmond Town,60.6,55,Sunny,84,1.4,Car,12.9634,77.6041,Normal afternoon demand under sunny conditions
255,2025-03-26,19:15:00,East,Indiranagar,104.7,97,Sunny,56,3.3,Bus,12.9719,77.6412,Typical evening peak-hour commuter demand
256,2025-03-27,08:15:00,West,Vijayanagar,63.1,59,Sunny,76,1.4,Car,12.9719,77.529,Typical morning peak-hour commuter demand
257,2025-03-27,14:30:00,Central,Richmond Town,71.7,65,Rainy,76,1.4,Scooter,12.9634,77.6041,Afternoon travel demand increased due to rainy weather
258,2025-03-27,19:15:00,South,HSR Layout,98.8,86,Cloudy,58,3.2,Car,12.9121,77.6446,Typical evening peak-hour commuter demand
259,2025-03-28,08:15:00,North,Malleshwaram,90.8,78,Rainy,67,2.5,Car,13.0035,77.5709,Morning travel demand increased due to rainy weather
260,2025-03-28,14:30:00,East,Indiranagar,68.3,65,Rainy,78,1.6,Metro,12.9719,77.6412,Afternoon travel demand increased due to rainy weather
261,2025-03-28,19:15:00,Central,Shivajinagar,114.1,106,Sunny,51,4.2,Metro,12.9857,77.6058,Typical evening peak-hour commuter demand
262,2025-03-29,08:15:00,West,Nagarbhavi,56.9,46,Foggy,80,1.1,Bus,12.9587,77.5041,Morning demand slightly reduced due to foggy conditions
263,2025-03-29,14:30:00,East,Whitefield,45.9,36,Windy,88,0.9,Metro,12.9698,77.75,Afternoon demand slightly reduced due to windy conditions
264,2025-03-29,19:15:00,North,Hebbal,74.2,69,Sunny,79,1.5,Car,13.0358,77.597,Typical evening peak-hour commuter demand
265,2025-03-30,08:15:00,West,Rajajinagar,68.9,64,Rainy,72,1.8,Scooter,12.9915,77.5525,Morning travel demand increased due to rainy weather
266,2025-03-30,14:30:00,Central,MG Road,64.6,52,Cloudy,81,1.1,Car,12.9758,77.6045,Normal afternoon demand under cloudy conditions
267,2025-03-30,19:15:00,South,Koramangala,112.1,96,Rainy,48,3.9,Bus,12.9352,77.6245,Evening travel demand increased due to rainy weather
268,2025-03-31,08:15:00,North,Yelahanka,75.3,69,Sunny,73,1.8,Bike,13.1007,77.5963,Typical morning peak-hour commuter demand
269,2025-03-31,14:30:00,East,Indiranagar,54.7,45,Foggy,88,0.9,Bike,12.9719,77.6412,Afternoon demand slightly reduced due to foggy conditions
270,2025-03-31,19:15:00,West,Nagarbhavi,57.6,55,Sunny,87,1.0,Car,12.9587,77.5041,Typical evening peak-hour commuter demand
271,2025-04-01,08:15:00,North,Malleshwaram,90.2,84,Rainy,59,2.6,Bus,13.0035,77.5709,Morning travel demand increased due to rainy weather
272,2025-04-01,14:30:00,South,Jayanagar,43.8,37,Cloudy,94,0.9,Scooter,12.9308,77.5838,Normal afternoon demand under cloudy conditions
273,2025-04-01,19:15:00,South,Koramangala,99.0,81,Sunny,52,3.6,Bike,12.9352,77.6245,Typical evening peak-hour commuter demand
274,2025-04-02,08:15:00,Central,Richmond Town,126.7,100,Rainy,33,7.5,Scooter,12.9634,77.6041,Morning travel demand increased due to rainy weather
275,2025-04-02,14:30:00,West,Nagarbhavi,30.8,27,Sunny,99,0.6,Bike,12.9587,77.5041,Normal afternoon demand under sunny conditions
276,2025-04-02,19:15:00,South,Jayanagar,102.5,91,Rainy,62,2.8,Metro,12.9308,77.5838,Evening travel demand increased due to rainy weather
277,2025-04-03,08:15:00,South,Koramangala,87.7,79,Sunny,68,2.4,Metro,12.9352,77.6245,Typical morning peak-hour commuter demand
278,2025-04-03,14:30:00,Central,Shivajinagar,65.4,56,Rainy,76,1.7,Metro,12.9857,77.6058,Afternoon travel demand increased due to rainy weather
279,2025-04-03,19:15:00,West,Nagarbhavi,73.9,56,Rainy,72,1.7,Car,12.9587,77.5041,Evening travel demand increased due to rainy weather
280,2025-04-04,08:15:00,South,HSR Layout,92.8,87,Cloudy,61,2.3,Scooter,12.9121,77.6446,Typical morning peak-hour commuter demand
281,2025-04-04,14:30:00,Central,Richmond Town,58.8,53,Sunny,79,1.1,Metro,12.9634,77.6041,Normal afternoon demand under sunny conditions
282,2025-04-04,19:15:00,Central,Shivajinagar,124.1,97,Sunny,36,5.5,Bus,12.9857,77.6058,Typical evening peak-hour commuter demand
283,2025-04-05,08:15:00,East,Whitefield,110.3,103,Rainy,48,4.3,Car,12.9698,77.75,Morning travel demand increased due to rainy weather
284,2025-04-05,14:30:00,South,Koramangala,40.7,33,Foggy,96,0.7,Bus,12.9352,77.6245,Afternoon demand slightly reduced due to foggy conditions
285,2025-04-05,19:15:00,North,Malleshwaram,75.5,66,Foggy,66,2.2,Scooter,13.0035,77.5709,Evening demand slightly reduced due to foggy conditions
286,2025-04-06,08:15:00,West,Nagarbhavi,64.6,52,Cloudy,79,1.6,Car,12.9587,77.5041,Typical morning peak-hour commuter demand
287,2025-04-06,14:30:00,West,Rajajinagar,36.2,29,Rainy,96,0.7,Metro,12.9915,77.5525,Afternoon travel demand increased due to rainy weather
288,2025-04-06,19:15:00,West,Rajajinagar,75.1,68,Rainy,74,1.6,Bike,12.9915,77.5525,Evening travel demand increased due to rainy weather
289,2025-04-07,08:15:00,South,Koramangala,83.5,66,Windy,61,2.4,Bike,12.9352,77.6245,Morning demand slightly reduced due to windy conditions
290,2025-04-07,14:30:00,Central,Richmond Town,56.5,50,Sunny,86,0.9,Bike,12.9634,77.6041,Normal afternoon demand under sunny conditions
291,2025-04-07,19:15:00,West,Rajajinagar,70.0,55,Sunny,73,1.6,Metro,12.9915,77.5525,Typical evening peak-hour commuter demand
292,2025-04-08,08:15:00,South,Jayanagar,85.8,80,Sunny,73,1.8,Car,12.9308,77.5838,Typical morning peak-hour commuter demand
293,2025-04-08,14:30:00,East,Marathahalli,54.7,48,Sunny,82,1.2,Car,12.9591,77.6974,Normal afternoon demand under sunny conditions
294,2025-04-08,19:15:00,South,Jayanagar,88.3,75,Cloudy,65,2.1,Bike,12.9308,77.5838,Typical evening peak-hour commuter demand
295,2025-04-09,08:15:00,Central,Shivajinagar,116.1,97,Rainy,41,5.0,Bus,12.9857,77.6058,Morning travel demand increased due to rainy weather
296,2025-04-09,14:30:00,East,Marathahalli,56.4,43,Windy,84,1.2,Scooter,12.9591,77.6974,Afternoon demand slightly reduced due to windy conditions
297,2025-04-09,19:15:00,Central,Richmond Town,120.0,100,Sunny,50,4.5,Car,12.9634,77.6041,Typical evening peak-hour commuter demand
298,2025-04-10,08:15:00,Central,MG Road,120.8,91,Sunny,31,7.7,Bike,12.9758,77.6045,Typical morning peak-hour commuter demand
299,2025-04-10,14:30:00,West,Rajajinagar,32.0,30,Foggy,99,0.5,Car,12.9915,77.5525,Afternoon demand slightly reduced due to foggy conditions
300,2025-04-10,19:15:00,North,Malleshwaram,95.8,80,Rainy,56,2.6,Bus,13.0035,77.5709,Evening travel demand increased due to rainy weather
301,2025-04-11,08:15:00,North,Yelahanka,86.4,73,Rainy,64,2.1,Car,13.1007,77.5963,Morning travel demand increased due to rainy weather
302,2025-04-11,14:30:00,Central,Shivajinagar,64.5,51,Rainy,82,1.3,Car,12.9857,77.6058,Afternoon travel demand increased due to rainy weather
303,2025-04-11,19:15:00,South,HSR Layout,99.9,83,Sunny,48,3.2,Bus,12.9121,77.6446,Typical evening peak-hour commuter demand
304,2025-04-12,08:15:00,North,Malleshwaram,68.2,61,Foggy,69,1.5,Bike,13.0035,77.5709,Morning demand slightly reduced due to foggy conditions
305,2025-04-12,14:30:00,North,Yelahanka,34.7,29,Sunny,96,0.6,Scooter,13.1007,77.5963,Normal afternoon demand under sunny conditions
306,2025-04-12,19:15:00,North,Yelahanka,72.0,66,Windy,74,1.9,Bus,13.1007,77.5963,Evening demand slightly reduced due to windy conditions
307,2025-04-13,08:15:00,Central,Richmond Town,108.2,84,Windy,57,3.4,Bike,12.9634,77.6041,Morning demand slightly reduced due to windy conditions
308,2025-04-13,14:30:00,Central,Shivajinagar,54.0,45,Sunny,86,1.1,Scooter,12.9857,77.6058,Normal afternoon demand under sunny conditions
309,2025-04-13,19:15:00,South,Koramangala,106.2,94,Rainy,59,2.5,Scooter,12.9352,77.6245,Evening travel demand increased due to rainy weather
310,2025-04-14,08:15:00,Central,MG Road,116.8,107,Cloudy,47,4.3,Bus,12.9758,77.6045,Typical morning peak-hour commuter demand
311,2025-04-14,14:30:00,Central,Richmond Town,61.1,51,Cloudy,85,1.3,Car,12.9634,77.6041,Normal afternoon demand under cloudy conditions
312,2025-04-14,19:15:00,Central,MG Road,122.1,110,Sunny,46,5.0,Bus,12.9758,77.6045,Typical evening peak-hour commuter demand
313,2025-04-15,08:15:00,East,Whitefield,85.7,72,Foggy,63,2.0,Scooter,12.9698,77.75,Morning demand slightly reduced due to foggy conditions
314,2025-04-15,14:30:00,West,Rajajinagar,27.8,23,Foggy,100,0.5,Metro,12.9915,77.5525,Afternoon demand slightly reduced due to foggy conditions
315,2025-04-15,19:15:00,Central,Richmond Town,119.7,91,Cloudy,32,5.8,Metro,12.9634,77.6041,Typical evening peak-hour commuter demand
316,2025-04-16,08:15:00,West,Nagarbhavi,57.9,54,Sunny,82,1.4,Scooter,12.9587,77.5041,Typical morning peak-hour commuter demand
317,2025-04-16,14:30:00,West,Rajajinagar,30.9,25,Windy,98,0.5,Metro,12.9915,77.5525,Afternoon demand slightly reduced due to windy conditions
318,2025-04-16,19:15:00,South,HSR Layout,82.7,67,Foggy,74,1.8,Scooter,12.9121,77.6446,Evening demand slightly reduced due to foggy conditions
319,2025-04-17,08:15:00,North,Yelahanka,73.3,59,Sunny,75,1.6,Bus,13.1007,77.5963,Typical morning peak-hour commuter demand
320,2025-04-17,14:30:00,North,Yelahanka,38.3,35,Cloudy,95,0.6,Car,13.1007,77.5963,Normal afternoon demand under cloudy conditions
321,2025-04-17,19:15:00,South,Koramangala,94.3,73,Sunny,64,2.7,Bike,12.9352,77.6245,Typical evening peak-hour commuter demand
322,2025-04-18,08:15:00,East,Marathahalli,111.9,98,Windy,43,4.8,Car,12.9591,77.6974,Morning demand slightly reduced due to windy conditions
323,2025-04-18,14:30:00,South,HSR Layout,46.8,40,Sunny,93,0.9,Bike,12.9121,77.6446,Normal afternoon demand under sunny conditions
324,2025-04-18,19:15:00,East,Marathahalli,103.5,78,Foggy,61,2.6,Scooter,12.9591,77.6974,Evening demand slightly reduced due to foggy conditions
325,2025-04-19,08:15:00,West,Vijayanagar,57.8,48,Sunny,84,1.1,Scooter,12.9719,77.529,Typical morning peak-hour commuter demand
326,2025-04-19,14:30:00,Central,MG Road,54.8,43,Sunny,82,1.3,Car,12.9758,77.6045,Normal afternoon demand under sunny conditions
327,2025-04-19,19:15:00,Central,MG Road,122.6,111,Cloudy,34,6.9,Car,12.9758,77.6045,Typical evening peak-hour commuter demand
328,2025-04-20,08:15:00,South,HSR Layout,97.7,89,Cloudy,60,3.2,Bike,12.9121,77.6446,Typical morning peak-hour commuter demand
329,2025-04-20,14:30:00,West,Rajajinagar,35.3,31,Rainy,100,0.7,Bus,12.9915,77.5525,Afternoon travel demand increased due to rainy weather
330,2025-04-20,19:15:00,West,Nagarbhavi,75.7,58,Rainy,74,1.7,Bike,12.9587,77.5041,Evening travel demand increased due to rainy weather
331,2025-04-21,08:15:00,North,Hebbal,71.0,59,Sunny,68,1.6,Car,13.0358,77.597,Typical morning peak-hour commuter demand
332,2025-04-21,14:30:00,South,Koramangala,47.6,40,Cloudy,90,0.8,Metro,12.9352,77.6245,Normal afternoon demand under cloudy conditions
333,2025-04-21,19:15:00,Central,MG Road,121.7,101,Sunny,33,5.7,Car,12.9758,77.6045,Typical evening peak-hour commuter demand
334,2025-04-22,08:15:00,Central,Richmond Town,141.4,130,Rainy,38,6.4,Bike,12.9634,77.6041,Morning travel demand increased due to rainy weather
335,2025-04-22,14:30:00,East,Indiranagar,56.7,53,Cloudy,88,1.1,Bus,12.9719,77.6412,Normal afternoon demand under cloudy conditions
336,2025-04-22,19:15:00,West,Vijayanagar,65.6,60,Sunny,83,1.3,Scooter,12.9719,77.529,Typical evening peak-hour commuter demand
337,2025-04-23,08:15:00,Central,Shivajinagar,117.6,109,Sunny,51,3.7,Bus,12.9857,77.6058,Typical morning peak-hour commuter demand
338,2025-04-23,14:30:00,North,Hebbal,43.1,34,Rainy,95,0.9,Metro,13.0358,77.597,Afternoon travel demand increased due to rainy weather
339,2025-04-23,19:15:00,East,Whitefield,119.9,92,Cloudy,51,4.6,Car,12.9698,77.75,Typical evening peak-hour commuter demand
340,2025-04-24,08:15:00,West,Rajajinagar,61.4,52,Sunny,81,1.1,Car,12.9915,77.5525,Typical morning peak-hour commuter demand
341,2025-04-24,14:30:00,West,Vijayanagar,34.1,26,Rainy,97,0.6,Bus,12.9719,77.529,Afternoon travel demand increased due to rainy weather
342,2025-04-24,19:15:00,East,Indiranagar,122.1,110,Sunny,31,5.8,Scooter,12.9719,77.6412,Typical evening peak-hour commuter demand
343,2025-04-25,08:15:00,West,Nagarbhavi,59.7,45,Cloudy,83,1.1,Metro,12.9587,77.5041,Typical morning peak-hour commuter demand
344,2025-04-25,14:30:00,East,Marathahalli,55.5,49,Sunny,85,1.0,Metro,12.9591,77.6974,Normal afternoon demand under sunny conditions
345,2025-04-25,19:15:00,West,Nagarbhavi,63.2,60,Sunny,79,1.6,Bus,12.9587,77.5041,Typical evening peak-hour commuter demand
346,2025-04-26,08:15:00,North,Malleshwaram,76.6,68,Sunny,63,2.0,Bike,13.0035,77.5709,Typical morning peak-hour commuter demand
347,2025-04-26,14:30:00,South,Koramangala,48.5,41,Sunny,86,1.1,Bus,12.9352,77.6245,Normal afternoon demand under sunny conditions
348,2025-04-26,19:15:00,South,Jayanagar,104.6,96,Rainy,44,3.4,Metro,12.9308,77.5838,Evening travel demand increased due to rainy weather
349,2025-04-27,08:15:00,North,Yelahanka,69.5,58,Windy,79,1.4,Bus,13.1007,77.5963,Morning demand slightly reduced due to windy conditions
350,2025-04-27,14:30:00,East,Indiranagar,52.5,49,Sunny,83,1.0,Scooter,12.9719,77.6412,Normal afternoon demand under sunny conditions
351,2025-04-27,19:15:00,Central,Richmond Town,142.3,115,Rainy,33,6.1,Bus,12.9634,77.6041,Evening travel demand increased due to rainy weather
352,2025-04-28,08:15:00,West,Nagarbhavi,54.1,49,Sunny,80,1.3,Metro,12.9587,77.5041,Typical morning peak-hour commuter demand
353,2025-04-28,14:30:00,East,Indiranagar,57.4,49,Cloudy,84,1.2,Car,12.9719,77.6412,Normal afternoon demand under cloudy conditions
354,2025-04-28,19:15:00,South,HSR Layout,81.5,67,Foggy,72,1.8,Scooter,12.9121,77.6446,Evening demand slightly reduced due to foggy conditions
355,2025-04-29,08:15:00,East,Whitefield,116.0,108,Rainy,55,3.0,Metro,12.9698,77.75,Morning travel demand increased due to rainy weather
356,2025-04-29,14:30:00,Central,Richmond Town,57.7,55,Sunny,86,1.0,Bus,12.9634,77.6041,Normal afternoon demand under sunny conditions
357,2025-04-29,19:15:00,South,Koramangala,97.5,89,Cloudy,64,2.5,Bus,12.9352,77.6245,Typical evening peak-hour commuter demand
358,2025-04-30,08:15:00,South,HSR Layout,83.3,72,Windy,73,1.7,Bike,12.9121,77.6446,Morning demand slightly reduced due to windy conditions
359,2025-04-30,14:30:00,South,HSR Layout,48.5,37,Sunny,85,1.1,Bike,12.9121,77.6446,Normal afternoon demand under sunny conditions
360,2025-04-30,19:15:00,North,Yelahanka,70.6,65,Sunny,78,1.6,Metro,13.1007,77.5963,Typical evening peak-hour commuter demand
361,2025-05-01,08:15:00,East,Whitefield,106.1,101,Cloudy,58,3.5,Bike,12.9698,77.75,Typical morning peak-hour commuter demand
362,2025-05-01,14:30:00,North,Malleshwaram,45.2,40,Cloudy,89,0.8,Metro,13.0035,77.5709,Normal afternoon demand under cloudy conditions
363,2025-05-01,19:15:00,Central,MG Road,126.1,103,Cloudy,43,4.5,Metro,12.9758,77.6045,Typical evening peak-hour commuter demand
364,2025-05-02,08:15:00,East,Marathahalli,117.2,102,Sunny,52,4.1,Car,12.9591,77.6974,Typical morning peak-hour commuter demand
365,2025-05-02,14:30:00,Central,Shivajinagar,53.1,40,Sunny,83,1.3,Bike,12.9857,77.6058,Normal afternoon demand under sunny conditions
366,2025-05-02,19:15:00,East,Indiranagar,122.3,106,Rainy,34,5.8,Bike,12.9719,77.6412,Evening travel demand increased due to rainy weather
367,2025-05-03,08:15:00,East,Whitefield,89.4,70,Foggy,69,2.2,Bus,12.9698,77.75,Morning demand slightly reduced due to foggy conditions
368,2025-05-03,14:30:00,South,Jayanagar,51.7,48,Rainy,83,1.0,Metro,12.9308,77.5838,Afternoon travel demand increased due to rainy weather
369,2025-05-03,19:15:00,North,Malleshwaram,88.1,78,Sunny,54,2.7,Metro,13.0035,77.5709,Typical evening peak-hour commuter demand
370,2025-05-04,08:15:00,East,Whitefield,99.5,79,Cloudy,55,2.6,Car,12.9698,77.75,Typical morning peak-hour commuter demand
371,2025-05-04,14:30:00,North,Malleshwaram,42.3,33,Sunny,89,0.9,Bike,13.0035,77.5709,Normal afternoon demand under sunny conditions
372,2025-05-04,19:15:00,Central,Shivajinagar,137.4,124,Rainy,22,11.4,Bus,12.9857,77.6058,Evening travel demand increased due to rainy weather
373,2025-05-05,08:15:00,South,HSR Layout,110.7,96,Rainy,44,4.2,Bus,12.9121,77.6446,Morning travel demand increased due to rainy weather
374,2025-05-05,14:30:00,East,Whitefield,46.0,36,Foggy,90,0.9,Bus,12.9698,77.75,Afternoon demand slightly reduced due to foggy conditions
375,2025-05-05,19:15:00,Central,MG Road,128.7,112,Cloudy,32,7.4,Bus,12.9758,77.6045,Typical evening peak-hour commuter demand
376,2025-05-06,08:15:00,Central,MG Road,133.7,115,Rainy,30,6.5,Scooter,12.9758,77.6045,Morning travel demand increased due to rainy weather
377,2025-05-06,14:30:00,West,Vijayanagar,31.2,24,Windy,99,0.5,Bus,12.9719,77.529,Afternoon demand slightly reduced due to windy conditions
378,2025-05-06,19:15:00,South,HSR Layout,91.8,80,Windy,63,2.4,Car,12.9121,77.6446,Evening demand slightly reduced due to windy conditions
379,2025-05-07,08:15:00,Central,MG Road,117.2,89,Cloudy,52,3.4,Metro,12.9758,77.6045,Typical morning peak-hour commuter demand
380,2025-05-07,14:30:00,North,Yelahanka,34.5,28,Foggy,100,0.6,Bus,13.1007,77.5963,Afternoon demand slightly reduced due to foggy conditions
381,2025-05-07,19:15:00,West,Vijayanagar,78.2,60,Rainy,67,2.3,Metro,12.9719,77.529,Evening travel demand increased due to rainy weather
